,SAMPN,CTFIP,BIN,RESTY,HHSIZ,INCOM,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,GEO_GROUP1,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC
69,3001846,36085,17,2,1,2,1,0,0,1,0,1,353.28571,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10308,1612,36085014604,2,1,1,1,6
70,3001865,34017,18,2,1,5,1,0,1,1,0,1,253.3,WEST NEW YORK,WEST NEW YORK TOWN,West New York town,NJ,7093,2865,34017015802,8,1,3,1,4
71,3001974,36087,15,1,2,6,2,0,0,2,0,1,194.6,NEW CITY,NEW CITY CDP,Clarkstown town,NY,10956,2274,36087010803,4,2,4,2,6
72,3001982,34025,2,1,1,4,1,0,0,1,0,1,935.0,ATLANTIC HIGHLANDS,ATLANTIC HIGHLANDS BOROUGH,Atlantic Highlands borough,NJ,7716,3233,34025800200,10,1,2,1,6
73,3001998,34003,17,1,4,5,2,0,2,2,0,1,357.14286,PARAMUS,PARAMUS BOROUGH,Paramus borough,NJ,7652,2706,34003042100,7,4,3,2,2
74,3002021,34019,18,1,3,99,2,2,1,1,2,1,138.15789,FLEMINGTON,,Raritan township,NJ,8822,3335,34019011302,11,3,9,2,3
75,3002067,9009,2,1,2,4,2,0,1,2,0,1,853.66667,NAUGATUCK,NAUGATUCK BOROUGH,Naugatuck town,CT,6770,3531,9009345201,6,2,2,2,4
76,3002068,9009,2,1,2,5,3,0,1,2,0,1,454.5,WALLINGFORD,,Wallingford town,CT,6492,3495,9009175700,6,2,3,3,4
77,3002077,36061,10,2,1,2,1,0,1,1,0,1,56.92593,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10002,48,36061001600,1,1,1,1,4
78,3002080,36047,3,2,1,2,0,0,0,0,0,1,729.66667,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11225,1278,36047032900,2,1,1,0,6
79,3002081,34025,2,3,2,3,2,0,1,2,0,1,1054.0,TINTON FALLS,TINTON FALLS BOROUGH,Tinton Falls borough,NJ,7712,3277,34025804800,10,2,2,2,4
80,3002167,36061,6,2,1,2,1,0,1,1,0,1,408.8,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10009,53,36061002602,1,1,1,1,4
81,3002177,36119,14,1,3,8,2,1,3,3,0,1,264.5,ARDSLEY,ARDSLEY VILLAGE,Greenburgh town,NY,10502,2163,36119010600,4,3,4,2,2
82,3002183,36103,3,1,2,6,2,0,2,1,0,1,545.0,CORAM,CORAM CDP,Brookhaven town,NY,11727,2024,36103158309,3,2,4,2,2
83,3002200,36027,14,1,3,8,4,0,3,3,0,1,237.0,POUGHKEEPSIE,,Poughkeepsie town,NY,12603,2398,36027140200,5,3,4,3,2
84,3002228,36119,11,1,1,2,6,0,0,0,0,1,846.66667,YONKERS,YONKERS CITY,Yonkers city,NY,10705,2169,36119000201,4,1,1,3,6
85,3002244,34021,9,1,3,6,2,0,1,2,1,1,290.0,LAWRENCEVILLE,,Lawrence township,NJ,8648,3578,34021003201,12,3,4,2,3
86,3002280,34003,20,1,4,6,4,2,2,4,0,1,194.06667,LODI,LODI BOROUGH,Lodi borough,NJ,7644,2691,34003030400,7,4,4,3,2
87,3002296,36085,13,2,2,99,0,0,0,0,0,1,229.25,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10306,1608,36085013204,2,2,9,0,6
88,3002372,36119,14,1,2,3,2,1,1,2,0,1,387.5,VALHALLA,VALHALLA CDP,Mount Pleasant town,NY,10595,2211,36119011902,4,2,2,2,4
89,3002420,34025,2,1,2,6,3,0,0,2,0,1,1016.0,HOLMDEL TOWNSHIP,,Holmdel township,NJ,7733,3248,34025803202,10,2,4,3,6
90,3002445,36061,6,2,1,4,0,0,0,1,0,1,725.14286,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10016,130,36061007800,1,1,2,0,6
91,3002497,36061,10,2,2,7,1,0,1,2,0,1,1277.75,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10065,185,36061011800,1,2,4,1,4
92,3002564,36059,5,1,2,3,1,0,0,2,0,1,849.0,HEWLETT,HEWLETT CDP,Hempstead town,NY,11557,1742,36059411700,3,2,2,1,6
93,3002565,36081,4,2,1,2,0,0,0,0,0,1,442.16667,NEW YORK,NEW YORK CITY,Queens borough,NY,11104,370,36081018300,2,1,1,0,6
